Field,Forename,Number of Records
Bride Forename,*abe[ry]e,1
Bride Forename,*abel,1
Bride Forename,*abeth,6
Bride Forename,*abine,1
Bride Forename,*able,1
Bride Forename,*ace,1
Bride Forename,*ach,1
Bride Forename,*acy,1
Bride Forename,*acye?,1
Bride Forename,*ah,5
Bride Forename,*aiach,1
Bride Forename,*ain,1
Bride Forename,*aine,1
Bride Forename,*all,1
Bride Forename,*allenor,1
Bride Forename,*alo_donie,1
Bride Forename,*am,2
Bride Forename,*amesa*,1
Bride Forename,*an,3
Bride Forename,*an*ery,1
Bride Forename,*an?,2
Bride Forename,*ances,1
Bride Forename,*andina,1
Bride Forename,*ane,5
Bride Forename,*ane?,2
Bride Forename,*anna,4
Bride Forename,*anna*,1
Bride Forename,*annah,2
Bride Forename,*anne,1
Bride Forename,*anor,1
Bride Forename,*anor Jane,1
Bride Forename,*ansis,1
Bride Forename,*any,1
Bride Forename,*ara,2
Bride Forename,*arah,1
Bride Forename,*arcy,1
Bride Forename,*are,1
Bride Forename,*aret,1
Bride Forename,*arie,2
Bride Forename,*arine,1
Bride Forename,*arity,1
Bride Forename,*arquet,1
Bride Forename,*arthered,1
Bride Forename,*ary,2
Bride Forename,*arylareth,1
Bride Forename,*as,2
Bride Forename,*ast,1
Bride Forename,*aster?,1
Bride Forename,*ath_,1
Bride Forename,*atha,1
Bride Forename,*atharine,1
Bride Forename,*aton,1
Bride Forename,*attely,1
Bride Forename,*au*,1
Bride Forename,*b*cka,1
Bride Forename,*bell,4
Bride Forename,*belle?,1
Bride Forename,*bera,2
Bride Forename,*beth,7
Bride Forename,*bill,1
Bride Forename,*bridine,1
Bride Forename,*ce,2
Bride Forename,*cellie,1
Bride Forename,*ces,1
Bride Forename,*chel,1
Bride Forename,*cilla,1
Bride Forename,*d,1
Bride Forename,*d*,1
Bride Forename,*ddith,1
Bride Forename,*dence,1
Bride Forename,*denye,1
Bride Forename,*dia,1
Bride Forename,*dith,1
Bride Forename,*ditha,1
Bride Forename,*dy,1
Bride Forename,*e,4
Bride Forename,*e*xonell,1
Bride Forename,*ea*,1
Bride Forename,*eaten,1
Bride Forename,*eatrix,1
Bride Forename,*ebborah,1
Bride Forename,*eh*,1
Bride Forename,*eing,1
Bride Forename,*el*,1
Bride Forename,*ell,2
Bride Forename,*ella,1
Bride Forename,*ella Mary,1
Bride Forename,*ellary,1
Bride Forename,*eme,1
Bride Forename,*emere,1
Bride Forename,*en,2
Bride Forename,*endent,1
Bride Forename,*enor,1
Bride Forename,*epula,1
Bride Forename,*er,4
Bride Forename,*eren,1
Bride Forename,*erie,1
Bride Forename,*ery,1
Bride Forename,*es,3
Bride Forename,*es?,1
Bride Forename,*ese,1
Bride Forename,*essie,1
Bride Forename,*ester,2
Bride Forename,*et,2
Bride Forename,*eth,5
Bride Forename,*etsey,1
Bride Forename,*ett,1
Bride Forename,*evyri,1
Bride Forename,*ezz*,1
Bride Forename,*ffala,1
Bride Forename,*fula,1
Bride Forename,*ga*,1
Bride Forename,*garet,2
Bride Forename,*garett,1
Bride Forename,*gell,1
Bride Forename,*gery,1
Bride Forename,*ges,1
Bride Forename,*get,1
Bride Forename,*gret,2
Bride Forename,*gry,1
Bride Forename,*gsh,1
Bride Forename,*h,5
Bride Forename,*h?,1
Bride Forename,*hal,1
Bride Forename,*hanne,2
Bride Forename,*has*en,1
Bride Forename,*he,1
Bride Forename,*he*,1
Bride Forename,*hedy,1
Bride Forename,*hem*,1
Bride Forename,*her,1
Bride Forename,*hine,1
Bride Forename,*hosa,1
Bride Forename,*i*E,1
Bride Forename,*i*th,1
Bride Forename,*ia,4
Bride Forename,*ian,1
Bride Forename,*ica,1
Bride Forename,*ice,2
Bride Forename,*ie,3
Bride Forename,*il**er,1
Bride Forename,*ila,1
Bride Forename,*ile,1
Bride Forename,*ilias,1
Bride Forename,*ilin,1
Bride Forename,*illice,1
Bride Forename,*imes,1
Bride Forename,*ina,1
Bride Forename,*ina?,1
Bride Forename,*iner,1
Bride Forename,*is,2
Bride Forename,*isan,1
Bride Forename,*izabethe,1
Bride Forename,*jery,1
Bride Forename,*l,1
Bride Forename,*l*e*,1
Bride Forename,*lagh?,1
Bride Forename,*lalia,1
Bride Forename,*lardolin?,1
Bride Forename,*len*,1
Bride Forename,*ler,1
Bride Forename,*let,1
Bride Forename,*ley,2
Bride Forename,*lian,1
Bride Forename,*lin,1
Bride Forename,*linor,1
Bride Forename,*lis?,1
Bride Forename,*liz,1
Bride Forename,*ll,1
Bride Forename,*ll*,1
Bride Forename,*lla,1
Bride Forename,*llin?,1
Bride Forename,*llina / Hallina ?,1
Bride Forename,*llis,1
Bride Forename,*llnsher,1
Bride Forename,*lly,1
Bride Forename,*llyn,1
Bride Forename,*lne,1
Bride Forename,*lnor,1
Bride Forename,*lor_,1
Bride Forename,*lora,1
Bride Forename,*lua,1
Bride Forename,*ly,1
Bride Forename,*lyd*,1
Bride Forename,*lyn,1
Bride Forename,*m?,1
Bride Forename,*ma,4
Bride Forename,*mah,1
Bride Forename,*mary,1
Bride Forename,*masin,1
Bride Forename,*mie,1
Bride Forename,*mye,1
Bride Forename,*n,13
Bride Forename,*n Annie,1
Bride Forename,*n*,2
Bride Forename,*n?,1
Bride Forename,*na,4
Bride Forename,*nah,1
Bride Forename,*nam,1
Bride Forename,*ne,10
Bride Forename,*nel,1
Bride Forename,*ner,2
Bride Forename,*nes,4
Bride Forename,*nia,1
Bride Forename,*nica,1
Bride Forename,*nie,1
Bride Forename,*nn,3
Bride Forename,*nna,1
Bride Forename,*nne,2
Bride Forename,*nnes,1
Bride Forename,*nor,1
Bride Forename,*nth,1
Bride Forename,*ny,2
Bride Forename,*o**,1
Bride Forename,*o*ie,1
Bride Forename,*o*n_,1
Bride Forename,*oa*,1
Bride Forename,*oborowgh*?,1
Bride Forename,*ohan,1
Bride Forename,*ohm,1
Bride Forename,*olie,1
Bride Forename,*oll,1
Bride Forename,*omsont?,1
Bride Forename,*on,2
Bride Forename,*one,1
Bride Forename,*one*,1
Bride Forename,*ones,1
Bride Forename,*onoby,1
Bride Forename,*onthy,1
Bride Forename,*ony,1
Bride Forename,*or*,1
Bride Forename,*ora,1
Bride Forename,*orothy,1
Bride Forename,*orry,1
Bride Forename,*ose?,1
Bride Forename,*ot,1
Bride Forename,*ouce,1
Bride Forename,*ouisa,1
Bride Forename,*ower,1
Bride Forename,*penane,1
Bride Forename,*phane,1
Bride Forename,*ra,3
Bride Forename,*ra(*),1
Bride Forename,*race,1
