Field,Forename,Number of Records
Bride Father Forename,Thomas Russell,4
Bride Father Forename,Thomas Russell Albert Mason,2
Bride Father Forename,Thomas Rutland,3
Bride Father Forename,Thomas Ryal,1
Bride Father Forename,Thomas Ryall,1
Bride Father Forename,Thomas S,6
Bride Father Forename,Thomas S.,1
Bride Father Forename,Thomas SKINNER,1
Bride Father Forename,Thomas Salisbury,2
Bride Father Forename,Thomas Salway,1
Bride Father Forename,Thomas Sampson,1
Bride Father Forename,Thomas Samuel,40
Bride Father Forename,Thomas Sandby,1
Bride Father Forename,Thomas Sandland,1
Bride Father Forename,Thomas Sandon,2
Bride Father Forename,Thomas Sarago,1
Bride Father Forename,Thomas Sargent,1
Bride Father Forename,Thomas Save?,1
Bride Father Forename,Thomas Savidge T.,1
Bride Father Forename,Thomas Saville,1
Bride Father Forename,Thomas Sclater,1
Bride Father Forename,Thomas Sconlar,1
Bride Father Forename,Thomas Scott,3
Bride Father Forename,Thomas Scott Harrison,1
Bride Father Forename,Thomas Seare,1
Bride Father Forename,Thomas Selby,2
Bride Father Forename,Thomas Sellwood,5
Bride Father Forename,Thomas Sempers,1
Bride Father Forename,Thomas Sewell,1
Bride Father Forename,Thomas Sharp,1
Bride Father Forename,Thomas Sharpe,1
Bride Father Forename,Thomas Shaw,1
Bride Father Forename,Thomas Shepherd,2
Bride Father Forename,Thomas Sheppard,1
Bride Father Forename,Thomas Sherman,1
Bride Father Forename,Thomas Shiers,1
Bride Father Forename,Thomas Shingle,1
Bride Father Forename,Thomas Shocklidge,1
Bride Father Forename,Thomas Shorland,1
Bride Father Forename,Thomas Sidney,7
Bride Father Forename,Thomas Silby,1
Bride Father Forename,Thomas Simcoates,1
Bride Father Forename,Thomas Simonds,1
Bride Father Forename,Thomas Simpson,3
Bride Father Forename,Thomas Sivers,1
Bride Father Forename,Thomas Skinner,4
Bride Father Forename,Thomas Slack,1
Bride Father Forename,Thomas Slater,1
Bride Father Forename,Thomas Smalley,4
Bride Father Forename,Thomas Smart,1
Bride Father Forename,Thomas Smith,13
Bride Father Forename,Thomas Sneath,3
Bride Father Forename,Thomas Sneyd,1
Bride Father Forename,Thomas Soden,1
Bride Father Forename,Thomas Solomon,2
Bride Father Forename,Thomas Soulsby,1
Bride Father Forename,Thomas Sowden,1
Bride Father Forename,Thomas Spafford,1
Bride Father Forename,Thomas Specet,1
Bride Father Forename,Thomas Spencer,3
Bride Father Forename,Thomas Spirling,1
Bride Father Forename,Thomas St Patrick,2
Bride Father Forename,Thomas St. Vincent Hope Cochrane,1
Bride Father Forename,Thomas Stan,1
Bride Father Forename,Thomas Stanley,5
Bride Father Forename,Thomas Stannyford,1
Bride Father Forename,Thomas Stansforth,1
Bride Father Forename,Thomas Stedman,1
Bride Father Forename,Thomas Stehpen,1
Bride Father Forename,Thomas Stennett,1
Bride Father Forename,Thomas Stephen,14
Bride Father Forename,Thomas Stephen William,1
Bride Father Forename,Thomas Stephens,2
Bride Father Forename,Thomas Stephenson,1
Bride Father Forename,Thomas Stevenson,1
Bride Father Forename,Thomas Stock,1
Bride Father Forename,Thomas Stodden,1
Bride Father Forename,Thomas Stolworthy,1
Bride Father Forename,Thomas Stoniforth,1
Bride Father Forename,Thomas Stowe,1
Bride Father Forename,Thomas Street,2
Bride Father Forename,Thomas Stubbs,3
Bride Father Forename,Thomas Sumpter,1
Bride Father Forename,Thomas Sutton,4
Bride Father Forename,Thomas Swan,1
Bride Father Forename,Thomas Swithin,3
Bride Father Forename,Thomas Sydney,4
Bride Father Forename,Thomas Sykes,3
Bride Father Forename,Thomas Sylvanus,1
Bride Father Forename,Thomas Sylvester,3
Bride Father Forename,Thomas Syth,1
Bride Father Forename,Thomas T.,4
Bride Father Forename,Thomas TUXFORD,1
Bride Father Forename,Thomas Tainer,2
Bride Father Forename,Thomas Talbot Tannard?,1
Bride Father Forename,Thomas Tanner S.,1
Bride Father Forename,Thomas Tapscott,1
Bride Father Forename,Thomas Tayles,1
Bride Father Forename,Thomas Taylor,7
Bride Father Forename,Thomas Teague,1
Bride Father Forename,Thomas Teed,1
Bride Father Forename,Thomas Tempest,2
Bride Father Forename,Thomas Terry,1
Bride Father Forename,Thomas Thackwell,2
Bride Father Forename,Thomas Thatcher,1
Bride Father Forename,Thomas Thaxtead,1
Bride Father Forename,Thomas Thaxton,1
Bride Father Forename,Thomas Thew,1
Bride Father Forename,Thomas Thompson,4
Bride Father Forename,Thomas Thorogood,6
Bride Father Forename,Thomas Thorold,5
Bride Father Forename,Thomas Thurston,1
Bride Father Forename,Thomas Tim,1
Bride Father Forename,Thomas Timothy,1
Bride Father Forename,Thomas Tindal,1
Bride Father Forename,Thomas Tokely,1
Bride Father Forename,Thomas Tonkin,2
Bride Father Forename,Thomas Tovey,1
Bride Father Forename,Thomas Towle,1
Bride Father Forename,Thomas Toyn,1
Bride Father Forename,Thomas Tregwithen,1
Bride Father Forename,Thomas Trenton,1
Bride Father Forename,Thomas Trewhella,2
Bride Father Forename,Thomas Treyeare,1
Bride Father Forename,Thomas Truin,1
Bride Father Forename,Thomas Truman,1
Bride Father Forename,Thomas Tuahon,1
Bride Father Forename,Thomas Tubbs,2
Bride Father Forename,Thomas Tully,1
Bride Father Forename,Thomas Turner,4
Bride Father Forename,Thomas Tuttiett,1
Bride Father Forename,Thomas Twite,1
Bride Father Forename,Thomas Tyler,2
Bride Father Forename,Thomas Tyrell,1
Bride Father Forename,Thomas Uriah,3
Bride Father Forename,Thomas Utber,2
Bride Father Forename,Thomas V.,2
Bride Father Forename,Thomas Valentine,6
Bride Father Forename,Thomas Van,2
Bride Father Forename,Thomas Vaughton,1
Bride Father Forename,Thomas Venables,1
Bride Father Forename,Thomas Vernon,1
Bride Father Forename,Thomas Vickerman,1
Bride Father Forename,Thomas Victor,7
Bride Father Forename,Thomas Vincent,3
Bride Father Forename,Thomas Viney,1
Bride Father Forename,Thomas Vivian,1
Bride Father Forename,Thomas W,11
Bride Father Forename,Thomas W.,2
Bride Father Forename,Thomas W. (Dec'd),1
Bride Father Forename,Thomas WEEDS,1
Bride Father Forename,Thomas WILLIAMSON,1
Bride Father Forename,Thomas WIlliam,1
Bride Father Forename,Thomas Wain,1
Bride Father Forename,Thomas Wainwright,1
Bride Father Forename,Thomas Waite,1
Bride Father Forename,Thomas Walcot,1
Bride Father Forename,Thomas Waldern,2
Bride Father Forename,Thomas Wall,2
Bride Father Forename,Thomas Wallace,1
Bride Father Forename,Thomas Waller,4
Bride Father Forename,Thomas Walliam,1
Bride Father Forename,Thomas Wallis,2
Bride Father Forename,Thomas Walter,26
Bride Father Forename,Thomas Walter P.,1
Bride Father Forename,Thomas Walters,1
Bride Father Forename,Thomas Walton,1
Bride Father Forename,Thomas Wanless,1
Bride Father Forename,Thomas Ward,4
Bride Father Forename,Thomas Warriner,1
Bride Father Forename,Thomas Washbourne,1
Bride Father Forename,Thomas Waters,1
Bride Father Forename,Thomas Watkins,1
Bride Father Forename,Thomas Watson,5
Bride Father Forename,Thomas Watt,1
Bride Father Forename,Thomas Watts,2
Bride Father Forename,Thomas Weadon,2
Bride Father Forename,Thomas Weathely,1
Bride Father Forename,Thomas Weatherhogg,1
Bride Father Forename,Thomas Webb,1
Bride Father Forename,Thomas Webber,1
Bride Father Forename,Thomas Webster,2
Bride Father Forename,Thomas Weeks,1
Bride Father Forename,Thomas Welch,3
Bride Father Forename,Thomas Wellington,4
Bride Father Forename,Thomas Wells,2
Bride Father Forename,Thomas Welsh,2
Bride Father Forename,Thomas Welson,1
Bride Father Forename,Thomas Welton,1
Bride Father Forename,Thomas West,1
Bride Father Forename,Thomas Westcott,1
Bride Father Forename,Thomas Westmore,1
Bride Father Forename,Thomas Wheatly,1
Bride Father Forename,Thomas White,7
Bride Father Forename,Thomas Wighton,2
Bride Father Forename,Thomas Wilbourn,1
Bride Father Forename,Thomas Wilcox,1
Bride Father Forename,Thomas Wildfred,1
Bride Father Forename,Thomas Wilfred,18
Bride Father Forename,Thomas Wilkin,1
Bride Father Forename,Thomas Willam,1
Bride Father Forename,Thomas Willcox,1
Bride Father Forename,Thomas William,604
Bride Father Forename,Thomas William (d),1
Bride Father Forename,Thomas William (dcd),1
Bride Father Forename,Thomas William (dec),1
Bride Father Forename,Thomas William Bernard,1
Bride Father Forename,Thomas William Bussey,1
Bride Father Forename,Thomas William Cox,1
Bride Father Forename,Thomas William David,1
Bride Father Forename,Thomas William Derys,2
Bride Father Forename,Thomas William Edward,3
Bride Father Forename,Thomas William Francis,1
Bride Father Forename,Thomas William Frederick,1
Bride Father Forename,Thomas William Garrett,1
Bride Father Forename,Thomas William Harry,1
Bride Father Forename,Thomas William Henry,5
Bride Father Forename,Thomas William John,3
Bride Father Forename,Thomas William Mason,1
Bride Father Forename,Thomas William Montague,1
Bride Father Forename,Thomas William Percival,1
Bride Father Forename,Thomas William Percy,3
Bride Father Forename,Thomas William Raines,1
Bride Father Forename,Thomas William Walters,1
Bride Father Forename,Thomas William Whiting,1
Bride Father Forename,Thomas Williams,3
Bride Father Forename,Thomas Willie,1
Bride Father Forename,Thomas Willingham,2
Bride Father Forename,Thomas Willism,1
Bride Father Forename,Thomas Willoughby,1
Bride Father Forename,Thomas Willy,1
Bride Father Forename,Thomas Wilson,18
Bride Father Forename,Thomas Wilson R,3
Bride Father Forename,Thomas Windsor,1
Bride Father Forename,Thomas Winnery,2
Bride Father Forename,Thomas Winter,1
Bride Father Forename,Thomas Wison,1
Bride Father Forename,Thomas Withey,1
Bride Father Forename,Thomas Wm,4
Bride Father Forename,Thomas Wood,2
Bride Father Forename,Thomas Woodthorpe,1
Bride Father Forename,Thomas Woolen,2
Bride Father Forename,Thomas Woolhead,1
Bride Father Forename,Thomas Woolley,3
Bride Father Forename,Thomas Wright,8
Bride Father Forename,Thomas Wynton,1
Bride Father Forename,Thomas Yate,2
Bride Father Forename,Thomas Yates,1
Bride Father Forename,Thomas Yerbury,1
Bride Father Forename,Thomas Yorkston,1
Bride Father Forename,Thomas Young,4
Bride Father Forename,Thomas Youngs,1
Bride Father Forename,Thomas [H_]ill,1
Bride Father Forename,Thomas [R_]eeves,1
Bride Father Forename,Thomas [deceased],3
Bride Father Forename,Thomas _arc_,1
Bride Father Forename,Thomas brook,1
Bride Father Forename,Thomas deceased,1
Bride Father Forename,Thomas henry,3
Bride Father Forename,Thomas julian,1
Bride Father Forename,Thomas the elder,1
Bride Father Forename,Thomas& Ellen,1
Bride Father Forename,Thomas(senr),1
Bride Father Forename,Thomas,,1
Bride Father Forename,Thomas.,1
Bride Father Forename,Thomas/Ann,1
Bride Father Forename,Thomas/Elizabeth,2
Bride Father Forename,Thomas/Mary,1
Bride Father Forename,Thomas?,23
Bride Father Forename,Thomasa,2
Bride Father Forename,Thomasd Benjamin Samuel,1
Bride Father Forename,Thomasjury,1
Bride Father Forename,Thomasmell,1
Bride Father Forename,Thomaspeters,1
Bride Father Forename,Thomasq,3
Bride Father Forename,Thomass,2
Bride Father Forename,Thome,17
Bride Father Forename,Thomes,2
Bride Father Forename,Thomi,1
Bride Father Forename,Thommas,1
Bride Father Forename,Thomnas,1
Bride Father Forename,Thomoe,2
Bride Father Forename,Thompson,27
Bride Father Forename,Thoms,31
Bride Father Forename,Thoms Henry,1
Bride Father Forename,Thoms.,2
Bride Father Forename,Thomsd,1
Bride Father Forename,Thomse,1
Bride Father Forename,Thomson,2
Bride Father Forename,Thonas,4
Bride Father Forename,Thonas Boulton,1
Bride Father Forename,Thonmas,1
Bride Father Forename,Thophilus,1
Bride Father Forename,Thopmas,2
Bride Father Forename,Thormton,1
Bride Father Forename,Thorn,2
Bride Father Forename,Thorndrake,1
Bride Father Forename,Thorne,1
Bride Father Forename,Thornous Henry,1
Bride Father Forename,Thornton,15
Bride Father Forename,Thornton Henry James,1
Bride Father Forename,Thornton James Henry,1
Bride Father Forename,Thornwell,1
Bride Father Forename,Thorpe,6
Bride Father Forename,Thorpe *,1
Bride Father Forename,Thorpe Randall,1
Bride Father Forename,Thorpe Raynall (Dec),1
Bride Father Forename,Thorton,1
Bride Father Forename,Thorvald Sigva[r_]t,2
Bride Father Forename,Thos,785
Bride Father Forename,Thos Archer,1
Bride Father Forename,Thos Arthur,1
Bride Father Forename,Thos B.,1
Bride Father Forename,Thos Barnett,1
Bride Father Forename,Thos Berners,1
Bride Father Forename,Thos Blaby,2
Bride Father Forename,Thos Blakey,1
Bride Father Forename,Thos Blakey C,1
Bride Father Forename,Thos Bowman,1
Bride Father Forename,Thos Byard,1
Bride Father Forename,Thos Cook,1
Bride Father Forename,Thos Cuthbert,1
Bride Father Forename,Thos F,1
Bride Father Forename,Thos Fletcher,1
Bride Father Forename,Thos Francis,1
Bride Father Forename,Thos Fred,5
Bride Father Forename,Thos Graham,1
Bride Father Forename,Thos HOODLESS,2
Bride Father Forename,Thos Harper,1
Bride Father Forename,Thos Henry,1
Bride Father Forename,Thos Hy,1
Bride Father Forename,Thos Jas,1
Bride Father Forename,Thos John,1
Bride Father Forename,Thos Ledger,1
Bride Father Forename,Thos Marshall,1
Bride Father Forename,Thos Montgomery,1
Bride Father Forename,Thos Murray T,1
Bride Father Forename,Thos Phillips,1
Bride Father Forename,Thos Railton,1
Bride Father Forename,Thos Richard,1
Bride Father Forename,Thos Richardson,1
Bride Father Forename,Thos Robson,1
Bride Father Forename,Thos Robt,1
Bride Father Forename,Thos Samuel,1
Bride Father Forename,Thos Sclater,1
Bride Father Forename,Thos Thompson,1
Bride Father Forename,Thos Thornborrow,2
Bride Father Forename,Thos Walter,2
Bride Father Forename,Thos Wm,1
Bride Father Forename,Thos [deceased],1
Bride Father Forename,Thos',3
Bride Father Forename,Thos(decd),1
Bride Father Forename,Thos,,1
Bride Father Forename,Thos.,269
Bride Father Forename,Thos. Bate,1
Bride Father Forename,Thos. Couch,1
Bride Father Forename,Thos. Henry,1
Bride Father Forename,Thos. Jas,1
Bride Father Forename,Thos. Jas.,1
Bride Father Forename,Thos. John,1
Bride Father Forename,Thos. Joseph,1
Bride Father Forename,Thos. Miles,1
Bride Father Forename,Thos. Nias,1
Bride Father Forename,Thos. Payne,1
Bride Father Forename,Thos. Polen*,1
Bride Father Forename,Thos. Richard,1
Bride Father Forename,Thos. Seagrave,1
Bride Father Forename,Thos. Smith,1
Bride Father Forename,Thos. Thurtle,2
Bride Father Forename,Thos. Trivett,3
Bride Father Forename,Thos. W.,1
Bride Father Forename,Thos.?,1
Bride Father Forename,Thos.Geo.,1
Bride Father Forename,Thos.Seagrave,2
Bride Father Forename,Thos.Will.,1
Bride Father Forename,Thos:,1
Bride Father Forename,Thos?,4
Bride Father Forename,Thosearp,1
Bride Father Forename,Thosmas,1
Bride Father Forename,Thpmas,2
Bride Father Forename,Thraies,1
Bride Father Forename,Ths,2
Bride Father Forename,Ths Verney,1
Bride Father Forename,Ths?,1
Bride Father Forename,Thurgood,1
Bride Father Forename,Thurlman,1
Bride Father Forename,Thurlow,3
Bride Father Forename,Thurstan,1
Bride Father Forename,Thurstans,1
Bride Father Forename,Thurston,7
Bride Father Forename,Thyustane,1
Bride Father Forename,Tichard,2
Bride Father Forename,Tiddy,1
Bride Father Forename,Tihes?,1
Bride Father Forename,Tillbrook,1
Bride Father Forename,Tillet,1
Bride Father Forename,Tills,2
Bride Father Forename,Tillson,3
Bride Father Forename,Tilner Henry,1
Bride Father Forename,Tim,8
Bride Father Forename,Tim Elliott,1
Bride Father Forename,Tim.,1
Bride Father Forename,Timithy,1
Bride Father Forename,Timothe,1
Bride Father Forename,Timothei,7
Bride Father Forename,Timothey,1
Bride Father Forename,Timothie,1
Bride Father Forename,Timothy,540
Bride Father Forename,Timothy & Esther,1
Bride Father Forename,Timothy (Dec),1
Bride Father Forename,Timothy Adams,1
Bride Father Forename,Timothy Bevan,1
Bride Father Forename,Timothy Boag,1
Bride Father Forename,Timothy Bosley,1
Bride Father Forename,Timothy Burkett,1
Bride Father Forename,Timothy Coleman,1
Bride Father Forename,Timothy Eardley,2
Bride Father Forename,Timothy Elliott,3
Bride Father Forename,Timothy George,2
Bride Father Forename,Timothy George Smirth,1
Bride Father Forename,Timothy Hugh,1
Bride Father Forename,Timothy Jackson,1
Bride Father Forename,Timothy John,1
Bride Father Forename,Timothy Joseph,1
Bride Father Forename,Timothy Martin,1
Bride Father Forename,Timothy Neave,2
Bride Father Forename,Timothy Patrick,1
Bride Father Forename,Timothy Sellwood,3
Bride Father Forename,Timothy Thomas,2
Bride Father Forename,Timothy Thomas Culverwell,1
Bride Father Forename,Timothy William,5
Bride Father Forename,Timothy Willis,3
Bride Father Forename,Tindale,1
Bride Father Forename,Tiomas,1
Bride Father Forename,Tistram,1
Bride Father Forename,Tithattry Jones,1
Bride Father Forename,Titias,1
Bride Father Forename,Titterton,1
Bride Father Forename,Titus,80
Bride Father Forename,Titus George,1
Bride Father Forename,Titus Topham,1
Bride Father Forename,Titus?,1
Bride Father Forename,Tjhomas,1
Bride Father Forename,Tjhos.,1
Bride Father Forename,To_{3,4},1
Bride Father Forename,Tobbit,1
Bride Father Forename,Tobert,4
Bride Father Forename,Tobias,48
Bride Father Forename,Toby,2
Bride Father Forename,Toft,1
Bride Father Forename,Tola,2
Bride Father Forename,Tolbert,1
Bride Father Forename,Tolesman,2
Bride Father Forename,Tolver,4
Bride Father Forename,Tom,510
Bride Father Forename,Tom (Dec),5
Bride Father Forename,Tom (Decd),1
Bride Father Forename,Tom (deceased),2
Bride Father Forename,Tom Albert,3
Bride Father Forename,Tom Arndge,1
Bride Father Forename,Tom Bass,1
Bride Father Forename,Tom Bees,1
Bride Father Forename,Tom Bilton,1
Bride Father Forename,Tom Briggs,1
Bride Father Forename,Tom Capes,2
Bride Father Forename,Tom Charles,2
Bride Father Forename,Tom Cobb,1
Bride Father Forename,Tom Cubitt,1
Bride Father Forename,Tom Edward,1
Bride Father Forename,Tom Edward (Dec),1
Bride Father Forename,Tom Edwin,4
Bride Father Forename,Tom Francis,1
Bride Father Forename,Tom Frederick,5
Bride Father Forename,Tom Gale,1
Bride Father Forename,Tom Gaunt,1
Bride Father Forename,Tom George,2
Bride Father Forename,Tom Harold,2
Bride Father Forename,Tom Harpam,1
Bride Father Forename,Tom Harrington,1
Bride Father Forename,Tom Harry,3
Bride Father Forename,Tom Harry (Dec),1
Bride Father Forename,Tom Hartley,1
Bride Father Forename,Tom Hawker,1
Bride Father Forename,Tom Hay,2
Bride Father Forename,Tom Henry,8
Bride Father Forename,Tom Henry Harris,1
Bride Father Forename,Tom Herrington,2
Bride Father Forename,Tom Hibbert,1
Bride Father Forename,Tom Holehouse,4
Bride Father Forename,Tom Jeffery,1
Bride Father Forename,Tom Jeffry,2
Bride Father Forename,Tom Joseph,1
Bride Father Forename,Tom Julian,1
Bride Father Forename,Tom Kenneth,1
Bride Father Forename,Tom Liggins,1
Bride Father Forename,Tom Marples,1
Bride Father Forename,Tom Mitchell,2
Witness1 Forename,[HK]a*,1
Witness1 Forename,[HM]a_y,1
Witness1 Forename,[HM]ara[ys],1
Witness1 Forename,[HM]ary,1
Witness1 Forename,[HN],2
Witness1 Forename,[HP],1
Witness1 Forename,[HW],2
Witness1 Forename,[H] _,1
Witness1 Forename,[H]arry,1
Witness1 Forename,[H]e[rn]e Grine,1
Witness1 Forename,[H]isley?,1
Witness1 Forename,[H_],5
Witness1 Forename,[H_] J,1
Witness1 Forename,[H_]*,3
Witness1 Forename,[H_].,2
Witness1 Forename,[H_]. M.,1
Witness1 Forename,[H_][e_][r_]bert,1
Witness1 Forename,[H_]a_be[l_],1
Witness1 Forename,[H_]arke[t_][t_],1
Witness1 Forename,[H_]e*y Rosa,1
Witness1 Forename,[H_]e[n_]_y Charles,1
Witness1 Forename,[H_]ector,1
Witness1 Forename,[H_]illiey,1
Witness1 Forename,[H_]ines Henry,1
Witness1 Forename,[H_]oney,1
Witness1 Forename,[H_]onge,1
Witness1 Forename,[H_]umas,1
Witness1 Forename,[H_]yanny?,1
Witness1 Forename,[Henri],1
Witness1 Forename,[Henry],1
Witness1 Forename,[Hester],1
Witness1 Forename,[IJ],4
Witness1 Forename,[IJ] R,1
Witness1 Forename,[IJ] [N_],1
Witness1 Forename,[IJ].,2
Witness1 Forename,[IJ]__e__,1
Witness1 Forename,[IJ]ain,1
Witness1 Forename,[IJ]an,1
Witness1 Forename,[IT]. C.,1
Witness1 Forename,[I]. W.,1
Witness1 Forename,[I_][s_]el__,1
Witness1 Forename,[I_]rene,1
Witness1 Forename,[Isaac],2
Witness1 Forename,[J I] B,1
Witness1 Forename,[J S],1
Witness1 Forename,[J,T],1
Witness1 Forename,[J. S.],1
Witness1 Forename,[JAMES],1
Witness1 Forename,[JF],2
Witness1 Forename,[JF]o.,1
Witness1 Forename,[JI]*,1
Witness1 Forename,[JI]O,1
Witness1 Forename,[JI]a,1
Witness1 Forename,[JL],1
Witness1 Forename,[JL]. M.,1
Witness1 Forename,[JM__]_,1
Witness1 Forename,[JON],1
Witness1 Forename,[JS]a_,1
Witness1 Forename,[JS]a_h,1
Witness1 Forename,[JS]ame[sl],1
Witness1 Forename,[JS]arh,1
Witness1 Forename,[JS]arih,1
Witness1 Forename,[JS]avery Spieys,1
Witness1 Forename,[JS]o_l,1
Witness1 Forename,[JT],10
Witness1 Forename,[JT] C,1
Witness1 Forename,[JT] R,2
Witness1 Forename,[JT] W,1
Witness1 Forename,[JT]*,1
Witness1 Forename,[JT]*billa,1
Witness1 Forename,[JT]__,1
Witness1 Forename,[JT]hanes,1
Witness1 Forename,[JT]hs,1
Witness1 Forename,[JT]os,1
Witness1 Forename,[JY],1
Witness1 Forename,[J]*,2
Witness1 Forename,[J]*s,1
Witness1 Forename,[J]ohn,1
Witness1 Forename,[J_],23
Witness1 Forename,[J_] E,1
Witness1 Forename,[J_] H,1
Witness1 Forename,[J_] H.,1
Witness1 Forename,[J_] R J,1
Witness1 Forename,[J_] [A_],1
Witness1 Forename,[J_] [B_],1
Witness1 Forename,[J_] [MW],1
Witness1 Forename,[J_] [O_] R,1
Witness1 Forename,[J_]*,5
Witness1 Forename,[J_]*n,1
Witness1 Forename,[J_].,2
Witness1 Forename,[J_]. C.,2
Witness1 Forename,[J_]. [C_].,1
Witness1 Forename,[J_].[L_].,1
Witness1 Forename,[J_].[W_].[H_].,1
Witness1 Forename,[J_]OLL,1
Witness1 Forename,[J_][a_][m_][e_][s_],1
Witness1 Forename,[J_][a_]mes,1
Witness1 Forename,[J_][o_][e_],1
Witness1 Forename,[J_][o_][h_]*,1
Witness1 Forename,[J_]_[m_]e,1
Witness1 Forename,[J_]_sa_s,1
Witness1 Forename,[J_]_sserk,1
Witness1 Forename,[J_]a*,1
Witness1 Forename,[J_]am[e_][s_],1
Witness1 Forename,[J_]as W,1
Witness1 Forename,[J_]ed_c_,1
Witness1 Forename,[J_]esse,1
Witness1 Forename,[J_]essie,1
Witness1 Forename,[J_]i_ury,1
Witness1 Forename,[J_]o*,1
Witness1 Forename,[J_]ohn,1
Witness1 Forename,[J_]on,1
Witness1 Forename,[J_]onh,1
Witness1 Forename,[J_]ulin[ag],1
Witness1 Forename,[James],1
Witness1 Forename,[Jane],1
Witness1 Forename,[Jennie},1
Witness1 Forename,[Jesse],1
Witness1 Forename,[John],1
Witness1 Forename,[Jonethan],1
Witness1 Forename,[Jos],1
Witness1 Forename,[Js]a*,1
Witness1 Forename,[K_],1
Witness1 Forename,[K_] Berthia,1
Witness1 Forename,[K_] G,1
Witness1 Forename,[K_] Homer,1
Witness1 Forename,[K_][a_][t_][h_],1
Witness1 Forename,[K_]ane,1
Witness1 Forename,[K_]elly,1
Witness1 Forename,[K_]ezia,1
Witness1 Forename,[L. P.],1
Witness1 Forename,[LI],1
Witness1 Forename,[LS]*,1
Witness1 Forename,[LS]ampom ?,1
Witness1 Forename,[LS]ear,1
Witness1 Forename,[LY__]ce,1
Witness1 Forename,[L],1
Witness1 Forename,[L]arsh [itnn],1
Witness1 Forename,[L_],5
Witness1 Forename,[L_] E,1
Witness1 Forename,[L_][oa]vedy,1
Witness1 Forename,[L_]_whelny?,1
Witness1 Forename,[L_]a[c_][h_][a_][n_],1
Witness1 Forename,[L_]ane,1
Witness1 Forename,[L_]asley Clarke,1
Witness1 Forename,[L_]edly F.,1
Witness1 Forename,[L_]oster,2
Witness1 Forename,[L_]uther,1
Witness1 Forename,[M ],1
Witness1 Forename,[M,N]at,1
Witness1 Forename,[M.],1
Witness1 Forename,[MN],1
Witness1 Forename,[MN]*,1
Witness1 Forename,[MN]. W.,1
Witness1 Forename,[MN]anon,1
Witness1 Forename,[MN]ath.,1
Witness1 Forename,[MW],2
Witness1 Forename,[MW] A,2
Witness1 Forename,[MW][a_][lt][i_]*,1
Witness1 Forename,[MW]uld_{1,2}at,1
Witness1 Forename,[M],2
Witness1 Forename,[M]_(1,2)[r],1
Witness1 Forename,[M]artin,1
Witness1 Forename,[M_],6
Witness1 Forename,[M_] *,1
Witness1 Forename,[M_]*[d_]_,1
Witness1 Forename,[M_].,2
Witness1 Forename,[M_]. J.,1
Witness1 Forename,[M_][a_]y,1
Witness1 Forename,[M_]__d__,1
Witness1 Forename,[M_]ale[y_],1
Witness1 Forename,[M_]att*,1
Witness1 Forename,[M_]iairia,1
Witness1 Forename,[Mabela] Elizabeth,1
Witness1 Forename,[Martha],1
Witness1 Forename,[Marthar],1
Witness1 Forename,[Mary],1
Witness1 Forename,[Mathew],1
Witness1 Forename,[Mia] Elizth,1
Witness1 Forename,[Milhen],1
Witness1 Forename,[Mr Henry] Buck,1
Witness1 Forename,[NA]n*,1
Witness1 Forename,[NM] L,1
Witness1 Forename,[NM]. W.,1
Witness1 Forename,[NR]ich,1
Witness1 Forename,[NV],1
Witness1 Forename,[NV]arci[FS]sus?,1
Witness1 Forename,[NW],2
Witness1 Forename,[N],1
Witness1 Forename,[N_],2
Witness1 Forename,[N_]__m,1
Witness1 Forename,[N_]a*,1
Witness1 Forename,[N_]ellie F.,1
Witness1 Forename,[No Signature],2
Witness1 Forename,[OA],1
Witness1 Forename,[OP]orlel,1
Witness1 Forename,[PR],4
Witness1 Forename,[PR]*,1
Witness1 Forename,[P_],1
Witness1 Forename,[P_]*,1
Witness1 Forename,[P_]*y,1
Witness1 Forename,[P_].,2
Witness1 Forename,[P_][h_][p_],1
Witness1 Forename,[P_]e[e_][l_] Wright,1
Witness1 Forename,[QO] H,1
Witness1 Forename,[R.B.],2
Witness1 Forename,[RD]onald Henry,1
Witness1 Forename,[RK]ay,1
Witness1 Forename,[RK]istey,1
Witness1 Forename,[ROBERT],1
Witness1 Forename,[RP]o*,1
Witness1 Forename,[R],1
Witness1 Forename,[R]*y,1
Witness1 Forename,[R][ae]l_(2,3),1
Witness1 Forename,[R]osina,1
Witness1 Forename,[R_],3
Witness1 Forename,[R_] G,1
Witness1 Forename,[R_] Mc?,1
Witness1 Forename,[R_]*,1
Witness1 Forename,[R_]*pert,1
Witness1 Forename,[R_].,1
Witness1 Forename,[R_]. A.,1
Witness1 Forename,[R_].[J_].,1
Witness1 Forename,[R_]a*,1
Witness1 Forename,[R_]al[td]er Edgar,1
Witness1 Forename,[R_]d,1
Witness1 Forename,[R_]ichard,1
Witness1 Forename,[R_]obt,1
Witness1 Forename,[Rahet],1
Witness1 Forename,[SD]anl,1
Witness1 Forename,[SE},1
Witness1 Forename,[SF],1
Witness1 Forename,[SI],1
Witness1 Forename,[SJ],1
Witness1 Forename,[SJ].,1
Witness1 Forename,[SL] M,1
Witness1 Forename,[SL].,1
Witness1 Forename,[SL]a_t_{2,3},1
Witness1 Forename,[SL]al,1
Witness1 Forename,[SL]am*,1
Witness1 Forename,[SL]anll,1
Witness1 Forename,[SL]evana?,1
Witness1 Forename,[SL]ewell,1
